,Electricity Price,Wind Power,Solar Power,HPP Power,Curtailed Power,Battery SOC,Battery Power
8172,46.943,2.86314100004409,87.09565889294181,89.95879989298591,0.0,75.0,0.0
8173,49.017,6.104167206142625,77.30760196289934,83.41176916904196,0.0,75.0,0.0
8174,56.093,5.454891837000604,52.833767772027954,58.28865960902856,0.0,75.0,0.0
8175,72.687,6.554373785577109,0.0,6.554373785577109,0.0,75.0,0.0
8176,81.152,9.771869852960121,0.0,9.771869852960121,0.0,75.0,0.0
8177,81.576,17.294765551971686,0.0,66.5447655519717,0.0,75.0,49.25
8178,81.546,26.545894112565502,0.0,21.028348316935396,0.0,25.0,-5.517545795630106
8179,74.185,25.35051686933378,0.0,19.832971073703675,0.0,30.434782608695656,-5.517545795630106
8180,71.632,19.11710717693054,0.0,13.599561381300433,0.0,35.86956521739131,-5.517545795630106
8181,61.895,20.767912617380425,0.0,15.250366821750319,0.0,41.30434782608697,-5.517545795630106
8182,58.134,28.11775929805062,0.0,22.600213502420512,0.0,46.73913043478261,-5.517545795630107
8183,57.51,32.96460107341862,0.0,27.447055277788515,0.0,52.17391304347825,-5.517545795630108
8184,55.72,33.019197522816754,0.0,27.501651727186648,0.0,57.60869565217392,-5.517545795630108
8185,55.72,42.85263374190841,0.0,37.33508794627831,0.0,63.04347826086958,-5.517545795630106
8186,55.72,53.57139816643331,0.0,48.053852370803206,0.0,68.47826086956523,-5.517545795630106
8187,55.72,62.9251948899458,0.0,57.407649094315694,0.0,73.91304347826089,-5.517545795630106
8188,55.72,65.71663298237947,0.0,60.19908718674936,0.0,79.34782608695653,-5.517545795630106
8189,55.72,66.14889180615286,0.0,60.631346010522755,0.0,84.78260869565217,-5.517545795630107
8190,53.066,61.296556083191476,0.0,55.77901028756137,0.0,90.21739130434781,-5.517545795630106
8191,65.046,52.05912977443209,0.0,46.54158397880198,0.0,95.65217391304344,-5.517545795630108
8192,57.505,42.17011754568185,0.0,36.65257175005174,0.0,101.08695652173908,-5.517545795630108
8193,53.478,34.14149991929862,1.8581158259056694,30.482069949574182,0.0,106.52173913043474,-5.517545795630108
8194,50.609,25.178581586803595,26.354630960771715,46.015666751945204,0.0,111.95652173913041,-5.517545795630106
8195,50.99,18.01804699846195,50.24549070491141,62.74599190774325,0.0,117.39130434782606,-5.517545795630106
8196,53.15,13.378681327658436,66.32708032656842,74.18821585859675,0.0,122.82608695652172,-5.5175457956301095
8197,55.72,12.571696732578564,74.7098989091258,81.76404984607424,0.0,128.26086956521738,-5.517545795630106
8198,56.15,14.215201745282755,55.30371820735754,64.00137415701019,0.0,133.69565217391303,-5.517545795630106
8199,70.044,18.90067735880549,0.0,13.38313156317539,0.0,139.1304347826087,-5.517545795630099
8200,79.218,22.439852086395575,0.0,16.922306290765476,0.0,144.56521739130434,-5.517545795630099
8201,80.423,23.50803978702046,0.0,23.50803978702046,0.0,150.0,0.0
8202,80.783,22.442081510049192,0.0,71.69208151004919,0.0,150.0,49.25
8203,80.423,20.92570375834649,0.0,63.51865436849074,0.0,100.0,42.59295061014425
8204,79.218,18.200048265087084,0.0,17.502791562591597,0.0,56.75842577650331,-0.697256702495487
8205,76.911,16.008854612208253,0.0,15.311597909712766,0.0,57.44522362846136,-0.697256702495487
8206,75.395,13.523929104185262,0.0,12.826672401689775,0.0,58.13202148041942,-0.697256702495487
8207,62.985,8.715898467268039,0.0,8.018641764772552,0.0,58.81881933237747,-0.697256702495487
8208,65.13,3.9692313660915435,0.0,3.2719746635960565,0.0,59.50561718433553,-0.697256702495487
8209,65.13,3.5702670617770056,0.0,2.8730103592815186,0.0,60.19241503629358,-0.697256702495487
8210,65.13,1.5990473631963242,0.0,0.9017906607008372,0.0,60.87921288825164,-0.697256702495487
8211,65.13,2.1369989436148282,0.0,1.4397422411193412,0.0,61.56601074020969,-0.697256702495487
8212,65.13,0.6972567024954929,0.0,0.0,0.0,62.252808592167746,-0.697256702495487
8213,65.13,1.4644323884647468,0.0,0.7671756859692598,0.0,62.9396064441258,-0.697256702495487
8214,66.073,2.007818899371882,0.0,1.3105621968763952,0.0,63.626404296083855,-0.697256702495487
8215,78.389,0.8222583467522899,0.0,0.12500164425680294,0.0,64.31320214804191,-0.697256702495487
8216,74.479,0.0,0.0,0.0,0.0,64.99999999999997,0.0
8217,60.438,0.0,1.9056084122713774,1.9056084122713774,0.0,64.99999999999997,0.0
8218,51.064,0.0,37.96716178771737,37.96716178771737,0.0,64.99999999999997,0.0
8219,51.064,0.0,74.78298414848324,74.78298414848324,0.0,64.99999999999997,0.0
8220,51.064,0.0,81.85995735317246,81.85995735317246,0.0,64.99999999999997,0.0
8221,60.098,0.0,72.98578559196795,72.98578559196795,0.0,64.99999999999997,0.0
