,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
2023-01-01 10:00:00,8.695045183383067,14.649528534995245,16.108008386915323,17.121560155110373,18.004869765147,223.8817786375887,225.063091624522,226.26879845779277,227.73629684119948,229.0822208962861,283.1211407285976,69.05738191142875,9.1972015217109,67.32786180121083,0.58
2023-01-01 11:00:00,8.807600823458097,14.61938754383965,16.031418590593425,17.055369898350964,17.919588887662204,223.7901086646309,224.84142632258124,225.91312749868064,227.2086856817412,228.464980697916,283.12492916804223,137.71221020280987,206.15448358978423,89.135048247623,0.04
2023-01-01 12:00:00,8.257434688085334,13.901291842771856,15.28371191314357,16.33019714841654,17.147029260419842,221.9277334188509,223.06579307735595,224.23057579655125,225.56248727253532,226.87133525263255,283.16261749880056,161.8088315375767,308.1698518232756,85.9984792510224,0.0
2023-01-01 13:00:00,8.061009886074327,13.399600460550324,14.698298106730036,15.67334452504668,16.462907099633526,218.2903904361088,219.38126824281548,220.48854216906489,221.80262718327063,223.0565687189037,283.21006526247385,164.04168054087228,478.8219720235767,59.44555830222794,0.85
2023-01-01 14:00:00,7.742986573835286,12.943410197295671,14.212335852742836,15.203027504859966,15.977780536619296,219.13938958521427,220.204330645424,221.28333550289543,222.5396841307056,223.70550394530105,283.2581973807512,109.11675177546296,420.40789714862575,44.02019589843566,23.53
2023-01-01 15:00:00,7.003525684635552,11.884184663846746,13.08315881461952,13.976020006607165,14.71334859918585,212.6689778343968,214.0707227060782,215.5048591892657,217.0464178532724,218.51406332394075,283.20799025179576,37.34435527968539,220.5243018811447,24.21754960437964,36.54
2023-01-01 16:00:00,6.386768025117334,11.01955816008662,12.166396815192757,13.036513159431768,13.727953510521203,207.89129160008977,209.3779305982505,210.892136747376,212.5895654638975,214.28223763029,283.09582540681794,2.8529886077770468,0.0,2.8529886077770468,46.03
2023-01-01 17:00:00,5.638426625237966,10.210968266070893,11.37355751359177,12.112173120554404,12.75885124770683,196.2820188626332,198.09852859748548,199.95311828753924,202.21053885439255,204.43521595536487,283.0589724360888,0.0,0.0,0.0,99.9
2023-01-01 18:00:00,5.789286436034677,10.252308056968037,11.3728546961625,12.173075088195134,12.853291624329074,194.7980607711032,196.40067108276108,198.03402470272744,200.2884405333031,202.43595547006024,283.0248702461163,0.0,0.0,0.0,54.95
2023-01-01 19:00:00,4.977946112924489,8.971227773486374,9.981548585104685,10.700763891136504,11.321190160907337,191.2079443499317,193.0861382927117,195.0011383750237,197.50438464229217,199.96631620613013,283.0174729300104,0.0,0.0,0.0,62.0
2023-01-01 20:00:00,4.600802987371952,8.548169758136744,9.563154514345769,10.303608559752451,10.958929859248244,190.62356940744004,192.5824981990596,194.58484520629517,196.83419782043777,198.9970511921924,282.94018227818066,0.0,0.0,0.0,52.93
2023-01-01 21:00:00,4.11415353093908,7.686554509520853,8.60719574128526,9.310213730009504,9.951704304922798,188.3346716754292,190.18311743676836,192.0739098342418,194.1534904208137,196.11862546224293,282.6940100149004,0.0,0.0,0.0,45.96
2023-01-01 22:00:00,3.2044365600786966,6.341953482426611,7.175402904240711,7.734296287596483,8.2730975321249,183.7814977946157,186.92150588355275,190.12308741300976,193.37433252382945,195.6591042432773,282.41026677741775,0.0,0.0,0.0,35.0
2023-01-01 23:00:00,2.699198462636294,5.572869355286612,6.352364433810094,6.804059458655438,7.295926536262281,193.95264437154364,196.0348681509152,198.16061981830663,201.9735828881398,204.15272225419187,282.36769455162147,0.0,0.0,0.0,109.9
2023-01-02 00:00:00,1.8630346380355156,4.281664600717916,4.974402810836991,5.415157577095978,5.928616587666568,202.4781772525327,205.82030954664492,209.2285354571774,212.6156240528802,215.1429265651577,282.53077796845974,0.0,0.0,0.0,94.9
